Word,Frequency
the,146
a,94
to,93
of,67
and,66
in,43
.,39
with,37
for,36
is,34
that,26
food,24
this,24
at,22
i,19
from,18
are,17
-,17
we,17
on,16
an,15
you,14
just,14
as,13
raja,12
they,12
✨@foodies_of_bhubaneswar,12
your,12
our,12
&,11
more,11
it,11
#asmreating,10
was,10
their,10
#asmrvideo,10
#asmrsounds,10
but,10
like,10
#asmrcommunity,10
#asmr,10
have,10
",",9
all,9
special,9
not,9
pm,9
restaurant,9
be,9
do,9
#asmrfood,9
people,8
#viral,8
will,8
us,8
seafood,8
health,8
up,7
vibrant,7
has,7
:,7
#foodiesofbhubaneswar,7
|,7
by,7
#mahindra,7
thali:,7
indian,6
if,6
odia,6
dining,6
when,6
so,6
place,6
every,6
sugar,6
buffet,6
any,6
june,6
experience,6
who,6
over,6
out,6
citrus,6
or,6
bhubaneswar,5
culinary,5
no,5
world,5
lover,5
journey,5
#foodieincar,5
📍,5
lemon,5
signature,5
delicious,5
menu,5
vada,5
flavors,5
where,5
other,5
also,5
doner,5
than,5
thali,5
chicken,5
new,5
dishes,5
some,5
companies,5
music,4
unforgettable,4
festive,4
which,4
crab,4
spread,4
meat,4
#rajafestival,4
per,4
date:,4
indulge,4
had,4
·,4
sure,4
perfect,4
try,4
video,4
day,4
these,4
tree,4
court,4
"restaurant,",4
offering,4
india,4
make,4
can,4
🤝,4
link,4
most,4
14th,4
brings,4
now,4
📍location:,4
spirit,4
venue:,4
join,4
cocktail,4
first,4
"bhubaneswar,",4
don’t,4
#bhubaneswar,4
loaded,4
mango,4
chili,4
after,4
packaged,4
evening,4
featuring,4
use,4
onwards,4
me,4
think,3
"food,",3
feast,3
fries,3
location,3
promises,3
#loadedfries,3
sign,3
go,3
time:,3
roll,3
+gst,3
may,3
including,3
american,3
+91,3
fish,3
one,3
india’s,3
₹1350,3
festival,3
traditional,3
my,3
restaurants,3
bio,3
guests,3
#odiacuisine,3
#labelpadhegaindia,3
time,3
juice,3
"dishes,",3
"thali,",3
before,3
head,3
prawn,3
16th,3
fun,3
₹350,3
veg,3
full,3
i’m,3
its,3
been,3
person.,3
𝗟𝗜𝗞𝗘👍,3
𝗦𝗔𝗩𝗘,3
get,3
creators,3
much,3
🛟,3
𝗦𝗛𝗔𝗥𝗘,3
follow,3
another,3
1),3
fobulous,3
sell,3
😉,3
#foblive,3
know,3
•,3
#fobreels,3
run,3
hot,3
become,3
about,3
front,3
lobster,3
2),3
offers,3
pickle,3
tag,3
lineup,3
form,3
started,3
experience.,3
many,3
"rd,",2
#seafood,2
wide,2
